state_name,municipality_name,Computer systems design and related services,Engineering services,Management consulting services,Market research and public opinion survey services,Other scientific and technical consulting services,"Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the private sector","Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the public sector","Scientific research and development services in social sciences and humanities, provided by the private sector","Scientific research and development services in social sciences and humanities, provided by the public sector",Testing laboratories,total_direct,cluster,is_hotspot
AGUASCALIENTES,AGUASCALIENTES,32,8,49,1,10,1,2,2,1,8,114,1,True
AGUASCALIENTES,ASIENTOS,0,0,0,0,0,0,1,0,0,0,1,0,False
AGUASCALIENTES,JESUS MARIA,2,2,1,0,0,0,0,0,0,2,7,0,False
BAJA CALIFORNIA,ENSENADA,3,6,12,0,3,0,0,0,0,0,24,0,False
BAJA CALIFORNIA,MEXICALI,15,7,26,0,13,0,1,0,0,2,64,0,False
BAJA CALIFORNIA,PLAYAS DE ROSARITO,0,0,3,0,0,0,0,0,0,0,3,0,False
BAJA CALIFORNIA,SAN QUINTIN,0,0,0,0,0,0,0,1,0,0,1,0,False
BAJA CALIFORNIA,TECATE,0,0,0,0,0,0,0,0,0,1,1,0,False
BAJA CALIFORNIA,TIJUANA,41,19,71,5,14,3,0,1,0,8,162,1,True
BAJA CALIFORNIA SUR,LA PAZ,9,10,5,0,6,1,2,1,0,0,34,0,False
BAJA CALIFORNIA SUR,LORETO,0,0,3,0,0,0,0,0,0,0,3,0,False
BAJA CALIFORNIA SUR,LOS CABOS,4,1,24,1,2,1,0,0,0,0,33,0,False
BAJA CALIFORNIA SUR,MULEGE,0,0,0,0,0,1,0,0,0,0,1,0,False
CAMPECHE,CAMPECHE,10,5,11,0,2,0,0,0,2,2,32,0,False
CAMPECHE,CANDELARIA,1,0,0,0,0,0,0,0,0,0,1,0,False
CAMPECHE,CARMEN,7,23,17,0,3,1,0,0,1,9,61,0,False
CHIAPAS,ACAPETAHUA,0,4,1,0,0,0,0,0,0,0,5,0,False
CHIAPAS,ARRIAGA,0,0,0,0,1,0,0,0,0,0,1,0,False
CHIAPAS,CINTALAPA,0,1,0,0,0,0,0,0,0,2,3,0,False
CHIAPAS,COMITAN DE DOMINGUEZ,4,3,4,0,3,0,0,0,0,0,14,0,False
CHIAPAS,ESCUINTLA,0,0,0,0,1,0,0,0,0,0,1,0,False
CHIAPAS,HUIXTLA,0,0,0,0,1,0,0,0,0,0,1,0,False
CHIAPAS,LAS MARGARITAS,0,1,0,0,0,0,0,0,0,0,1,0,False
CHIAPAS,MOTOZINTLA,1,0,0,0,0,0,0,0,0,0,1,0,False
CHIAPAS,OCOSINGO,0,0,1,0,0,0,0,0,0,0,1,0,False
CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,0,0,0,0,1,0,0,0,0,0,1,0,False
CHIAPAS,PALENQUE,0,3,2,0,3,0,0,0,0,0,8,0,False
CHIAPAS,SAN CRISTOBAL DE LAS CASAS,0,1,1,0,0,0,0,0,2,0,4,0,False
CHIAPAS,SIMOJOVEL,0,0,0,0,0,0,2,0,0,0,2,0,False
CHIAPAS,TAPACHULA,6,6,9,0,4,0,3,0,0,0,28,0,False
CHIAPAS,TONALA,0,1,0,0,0,0,0,0,0,0,1,0,False
CHIAPAS,TUXTLA CHICO,0,1,0,0,0,0,0,0,0,0,1,0,False
CHIAPAS,TUXTLA GUTIERREZ,15,8,31,0,11,0,1,0,1,4,71,0,False
CHIAPAS,VILLA CORZO,0,0,2,0,0,0,0,0,0,0,2,0,False
CHIAPAS,VILLAFLORES,0,2,0,0,3,0,0,0,0,0,5,0,False
CHIAPAS,YAJALON,0,1,0,0,0,0,0,0,0,0,1,0,False
CHIHUAHUA,ALDAMA,1,0,0,0,0,0,0,0,0,0,1,0,False
CHIHUAHUA,ALLENDE,1,0,0,0,0,0,0,0,0,0,1,0,False
CHIHUAHUA,ASCENSION,0,0,1,0,1,0,0,0,0,0,2,0,False
CHIHUAHUA,CHIHUAHUA,43,20,43,2,8,2,0,1,0,5,124,1,True
CHIHUAHUA,CUAUHTEMOC,2,2,6,0,0,1,0,0,0,1,12,0,False
CHIHUAHUA,DELICIAS,0,2,1,0,0,0,0,0,0,0,3,0,False
CHIHUAHUA,HIDALGO DEL PARRAL,2,1,2,0,3,0,0,0,0,0,8,0,False
CHIHUAHUA,JIMENEZ,0,0,2,0,0,0,0,0,0,0,2,0,False
CHIHUAHUA,JUAREZ,23,11,14,1,8,0,0,0,1,4,62,0,False
CHIHUAHUA,NUEVO CASAS GRANDES,0,0,0,0,2,0,0,0,0,0,2,0,False
CHIHUAHUA,SANTA ISABEL,0,0,0,0,1,0,0,0,0,0,1,0,False
CIUDAD DE MEXICO,ALVARO OBREGON,31,21,70,5,12,7,1,2,2,4,155,1,True
CIUDAD DE MEXICO,AZCAPOTZALCO,11,7,9,0,1,2,0,0,0,5,35,0,False
CIUDAD DE MEXICO,BENITO JUAREZ,182,75,203,15,33,7,0,1,1,11,528,1,True
CIUDAD DE MEXICO,COYOACAN,16,15,18,7,4,3,4,2,1,2,72,1,True
CIUDAD DE MEXICO,CUAJIMALPA DE MORELOS,12,2,29,4,1,0,0,0,0,0,48,0,False
CIUDAD DE MEXICO,CUAUHTEMOC,131,39,159,33,29,2,0,3,0,4,400,1,True
CIUDAD DE MEXICO,GUSTAVO A. MADERO,16,7,15,3,6,2,0,0,0,4,53,0,False
CIUDAD DE MEXICO,IZTACALCO,3,2,7,0,6,0,0,1,0,5,24,0,False
CIUDAD DE MEXICO,IZTAPALAPA,5,3,13,5,7,1,0,0,0,5,39,0,False
CIUDAD DE MEXICO,LA MAGDALENA CONTRERAS,2,2,6,0,0,0,0,0,0,0,10,0,False
CIUDAD DE MEXICO,MIGUEL HIDALGO,105,53,201,28,36,3,0,1,0,3,430,1,True
CIUDAD DE MEXICO,MILPA ALTA,0,0,1,0,0,0,0,0,0,0,1,0,False
CIUDAD DE MEXICO,TLAHUAC,0,0,2,0,1,0,0,0,0,0,3,0,False
CIUDAD DE MEXICO,TLALPAN,16,4,11,1,5,1,0,0,7,1,46,0,False
CIUDAD DE MEXICO,VENUSTIANO CARRANZA,4,2,12,0,2,1,0,0,0,5,26,0,False
CIUDAD DE MEXICO,XOCHIMILCO,1,1,8,0,1,1,0,0,0,3,15,0,False
COAHUILA DE ZARAGOZA,ACUNA,2,0,1,0,0,0,0,0,0,0,3,0,False
COAHUILA DE ZARAGOZA,ARTEAGA,0,0,0,0,0,0,0,0,0,1,1,0,False
COAHUILA DE ZARAGOZA,CUATRO CIENEGAS,0,0,0,0,1,0,0,0,0,0,1,0,False
COAHUILA DE ZARAGOZA,FRONTERA,0,1,1,0,0,0,0,0,0,0,2,0,False
COAHUILA DE ZARAGOZA,MONCLOVA,2,7,5,0,0,1,0,0,0,2,17,0,False
COAHUILA DE ZARAGOZA,MUZQUIZ,1,0,0,0,0,0,0,0,0,0,1,0,False
COAHUILA DE ZARAGOZA,PARRAS,0,0,2,0,0,0,0,0,0,0,2,0,False
COAHUILA DE ZARAGOZA,PIEDRAS NEGRAS,1,1,5,0,0,0,0,0,0,1,8,0,False
COAHUILA DE ZARAGOZA,RAMOS ARIZPE,2,0,1,0,1,0,0,0,0,2,6,0,False
COAHUILA DE ZARAGOZA,SABINAS,0,0,0,0,1,0,0,0,1,0,2,0,False
COAHUILA DE ZARAGOZA,SALTILLO,18,10,19,0,14,0,0,0,2,11,74,0,False
COAHUILA DE ZARAGOZA,SAN JUAN DE SABINAS,0,1,0,0,0,0,0,0,0,0,1,0,False
COAHUILA DE ZARAGOZA,TORREON,26,16,27,0,4,2,0,0,0,5,80,0,False
COLIMA,ARMERIA,1,0,0,0,0,0,0,0,0,0,1,0,False
COLIMA,COLIMA,11,4,20,1,3,0,0,0,0,3,42,0,False
COLIMA,MANZANILLO,1,1,3,0,1,0,0,0,0,3,9,0,False
COLIMA,VILLA DE ALVAREZ,2,3,3,0,0,0,0,0,0,0,8,0,False
DURANGO,DURANGO,10,6,17,0,10,3,3,0,2,5,56,0,False
DURANGO,GOMEZ PALACIO,4,0,5,0,2,0,0,0,0,1,12,0,False
DURANGO,GUADALUPE VICTORIA,0,0,0,0,1,0,0,0,0,0,1,0,False
DURANGO,LERDO,0,1,2,0,1,0,0,0,0,0,4,0,False
DURANGO,TEPEHUANES,0,0,0,0,1,0,0,0,0,0,1,0,False
DURANGO,VICENTE GUERRERO,0,0,1,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,ACAMBARO,1,0,1,0,0,0,0,0,0,0,2,0,False
GUANAJUATO,APASEO EL GRANDE,0,0,0,0,0,0,0,0,0,1,1,0,False
GUANAJUATO,CELAYA,10,7,10,1,3,2,0,0,0,5,38,0,False
GUANAJUATO,CORTAZAR,0,0,1,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,CUERAMARO,0,0,0,0,0,0,0,0,0,1,1,0,False
GUANAJUATO,DOCTOR MORA,0,0,0,0,0,0,0,1,0,0,1,0,False
GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,1,1,0,0,0,0,0,0,0,0,2,0,False
GUANAJUATO,GUANAJUATO,1,6,4,0,0,2,0,0,0,2,15,0,False
GUANAJUATO,IRAPUATO,7,9,18,0,4,0,0,2,0,5,45,0,False
GUANAJUATO,LEON,50,17,60,1,9,4,5,1,0,9,156,1,True
GUANAJUATO,MOROLEON,0,2,1,0,1,0,0,0,0,2,6,0,False
GUANAJUATO,PENJAMO,0,0,4,0,3,0,0,0,0,0,7,0,False
GUANAJUATO,PURISIMA DEL RINCON,0,3,0,0,0,0,0,0,0,0,3,0,False
GUANAJUATO,ROMITA,0,1,0,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,SALAMANCA,0,4,0,0,1,0,0,0,0,1,6,0,False
GUANAJUATO,SALVATIERRA,0,1,0,0,1,0,0,0,0,0,2,0,False
GUANAJUATO,SAN DIEGO DE LA UNION,0,0,1,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,SAN FELIPE,0,1,0,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,SAN FRANCISCO DEL RINCON,1,0,0,0,1,0,0,0,0,0,2,0,False
GUANAJUATO,SAN JOSE ITURBIDE,0,1,0,0,0,0,0,0,0,1,2,0,False
GUANAJUATO,SAN LUIS DE LA PAZ,0,3,0,0,0,0,0,0,0,0,3,0,False
GUANAJUATO,SAN MIGUEL DE ALLENDE,0,2,1,0,2,0,0,0,0,0,5,0,False
GUANAJUATO,SILAO DE LA VICTORIA,0,2,4,0,0,0,0,0,0,1,7,0,False
GUANAJUATO,TIERRA BLANCA,0,0,0,0,0,0,0,0,0,1,1,0,False
GUANAJUATO,URIANGATO,0,1,0,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,VALLE DE SANTIAGO,0,2,0,0,0,0,0,0,0,0,2,0,False
GUANAJUATO,VILLAGRAN,1,0,0,0,0,0,0,0,0,0,1,0,False
GUANAJUATO,YURIRIA,0,0,0,0,3,0,0,0,0,0,3,0,False
GUERRERO,ACAPULCO DE JUAREZ,4,1,13,1,1,2,1,0,0,2,25,0,False
GUERRERO,ATOYAC DE ALVAREZ,0,0,1,0,0,0,0,0,0,0,1,0,False
GUERRERO,AYUTLA DE LOS LIBRES,0,0,1,0,0,0,0,0,0,0,1,0,False
GUERRERO,CHILPANCINGO DE LOS BRAVO,0,1,6,0,2,0,1,0,0,0,10,0,False
GUERRERO,IGUALA DE LA INDEPENDENCIA,0,0,3,0,1,0,2,0,0,0,6,0,False
GUERRERO,OMETEPEC,0,0,0,0,0,0,0,0,0,1,1,0,False
GUERRERO,PUNGARABATO,0,0,1,0,0,0,0,0,0,0,1,0,False
GUERRERO,SAN MARCOS,0,0,0,0,0,0,1,0,0,0,1,0,False
GUERRERO,TECPAN DE GALEANA,0,0,0,0,0,1,0,0,0,0,1,0,False
GUERRERO,TLAPA DE COMONFORT,0,0,3,1,1,0,0,0,0,0,5,0,False
GUERRERO,ZIHUATANEJO DE AZUETA,0,1,1,0,1,0,1,0,0,0,4,0,False
HIDALGO,ACAXOCHITLAN,0,0,0,0,1,0,0,0,0,0,1,0,False
HIDALGO,ACTOPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,APAN,0,0,1,0,0,0,0,0,0,0,1,0,False
HIDALGO,ATOTONILCO DE TULA,0,0,0,0,0,0,0,0,0,1,1,0,False
HIDALGO,ATOTONILCO EL GRANDE,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,CARDONAL,0,0,0,0,1,0,0,0,0,0,1,0,False
HIDALGO,FRANCISCO I. MADERO,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,HUICHAPAN,0,0,1,0,0,0,0,0,0,0,1,0,False
HIDALGO,IXMIQUILPAN,0,0,0,0,1,0,0,0,0,0,1,0,False
HIDALGO,JACALA DE LEDEZMA,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,MINERAL DE LA REFORMA,1,1,2,0,1,0,0,0,0,0,5,0,False
HIDALGO,MIXQUIAHUALA DE JUAREZ,0,0,1,0,0,0,0,0,0,0,1,0,False
HIDALGO,PACHUCA DE SOTO,4,8,10,1,1,1,0,0,0,6,31,0,False
HIDALGO,PROGRESO DE OBREGON,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,TEPEJI DEL RIO DE OCAMPO,0,1,0,0,0,0,0,0,0,2,3,0,False
HIDALGO,TETEPANGO,0,1,0,0,0,0,0,0,0,0,1,0,False
HIDALGO,TIZAYUCA,1,0,1,0,0,0,0,0,0,0,2,0,False
HIDALGO,TLAXCOAPAN,0,0,1,0,0,0,0,0,0,0,1,0,False
HIDALGO,TOLCAYUCA,0,0,0,0,2,0,0,0,0,0,2,0,False
HIDALGO,TULA DE ALLENDE,0,0,2,0,0,0,0,0,0,0,2,0,False
HIDALGO,TULANCINGO DE BRAVO,0,0,4,0,5,0,0,0,0,0,9,0,False
HIDALGO,ZACUALTIPAN DE ANGELES,0,0,0,0,1,0,0,0,0,0,1,0,False
JALISCO,AMECA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,ARANDAS,1,1,0,0,0,0,0,0,0,0,2,0,False
JALISCO,ATENGO,0,0,0,0,0,0,0,0,0,1,1,0,False
JALISCO,ATENGUILLO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,ATOTONILCO EL ALTO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,AUTLAN DE NAVARRO,0,3,1,0,0,0,0,0,0,0,4,0,False
JALISCO,CHAPALA,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,CIHUATLAN,0,1,0,0,1,0,0,0,0,0,2,0,False
JALISCO,COLOTLAN,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,EL GRULLO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,EL LIMON,0,0,0,0,0,0,1,0,0,0,1,0,False
JALISCO,EL SALTO,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,ETZATLAN,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,GUADALAJARA,72,41,135,18,18,9,1,3,1,19,317,1,True
JALISCO,HUEJUCAR,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,HUEJUQUILLA EL ALTO,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,JOCOTEPEC,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,LA BARCA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,LA HUERTA,0,1,0,0,0,0,0,0,0,0,1,0,False
JALISCO,LAGOS DE MORENO,0,0,1,0,1,0,0,0,0,1,3,0,False
JALISCO,MAZAMITLA,0,0,0,0,1,0,0,0,0,0,1,0,False
JALISCO,OCOTLAN,1,0,1,0,3,0,0,0,0,0,5,0,False
JALISCO,PONCITLAN,0,2,0,0,0,0,0,0,0,0,2,0,False
JALISCO,PUERTO VALLARTA,4,3,14,0,0,0,0,0,0,1,22,0,False
JALISCO,SAN IGNACIO CERRO GORDO,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,SAN JUAN DE LOS LAGOS,1,1,0,0,3,0,0,0,0,0,5,0,False
JALISCO,SAN JUANITO DE ESCOBEDO,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,SAN PEDRO TLAQUEPAQUE,6,6,7,0,5,0,0,0,0,2,26,0,False
JALISCO,SAYULA,2,1,0,0,0,0,0,0,0,0,3,0,False
JALISCO,TEPATITLAN DE MORELOS,2,4,0,0,4,0,0,0,0,0,10,0,False
JALISCO,TEQUILA,1,1,0,0,0,0,0,0,0,0,2,0,False
JALISCO,TEUCHITLAN,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,TLAJOMULCO DE ZUNIGA,0,2,3,0,1,0,0,0,0,0,6,0,False
JALISCO,TONALA,1,0,1,0,2,0,0,0,0,6,10,0,False
JALISCO,TUXPAN,0,0,1,0,1,0,0,0,0,0,2,0,False
JALISCO,UNION DE TULA,1,0,0,0,0,0,0,0,0,0,1,0,False
JALISCO,VILLA CORONA,0,0,1,0,0,0,0,0,0,0,1,0,False
JALISCO,ZAPOPAN,58,18,54,3,11,6,0,0,0,11,161,1,True
JALISCO,ZAPOTILTIC,0,0,0,0,0,1,0,0,0,0,1,0,False
JALISCO,ZAPOTLAN EL GRANDE,1,1,1,0,2,0,0,0,0,0,5,0,False
JALISCO,ZAPOTLANEJO,4,0,0,0,0,0,0,0,0,0,4,0,False
MEXICO                      ,ACAMBAY DE RUIZ CASTANEDA,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,ACOLMAN,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,ALMOLOYA DE JUAREZ,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,APAXCO,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,ATIZAPAN DE ZARAGOZA,1,6,6,0,2,0,0,0,0,2,17,0,False
MEXICO                      ,ATLACOMULCO,0,0,2,0,0,0,0,0,0,1,3,0,False
MEXICO                      ,CHAPULTEPEC,0,0,0,0,0,1,0,0,0,0,1,0,False
MEXICO                      ,CHICOLOAPAN,0,0,1,0,1,0,0,0,0,0,2,0,False
MEXICO                      ,COACALCO DE BERRIOZABAL,0,1,1,0,2,0,0,0,0,0,4,0,False
MEXICO                      ,COYOTEPEC,0,0,0,0,1,0,0,0,0,0,1,0,False
MEXICO                      ,CUAUTITLAN,1,1,1,0,1,0,0,0,0,0,4,0,False
MEXICO                      ,CUAUTITLAN IZCALLI,8,4,5,1,2,1,0,0,0,1,22,0,False
MEXICO                      ,ECATEPEC DE MORELOS,4,5,9,0,1,0,0,0,0,3,22,0,False
MEXICO                      ,HUEYPOXTLA,2,0,0,0,0,0,0,0,0,0,2,0,False
MEXICO                      ,HUIXQUILUCAN,3,2,10,0,0,0,0,0,0,0,15,0,False
MEXICO                      ,IXTAPALUCA,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,IXTAPAN DE LA SAL,1,0,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,IXTLAHUACA,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,JALTENCO,0,1,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,JILOTEPEC,0,0,0,0,2,0,0,0,0,0,2,0,False
MEXICO                      ,JOCOTITLAN,0,1,0,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,LA PAZ,0,0,1,0,0,0,0,0,0,0,1,0,False
MEXICO                      ,LERMA,0,0,1,0,0,0,1,0,0,0,2,0,False
MEXICO                      ,METEPEC,11,4,11,0,3,3,0,0,0,2,34,0,False
MEXICO                      ,NAUCALPAN DE JUAREZ,11,16,24,7,4,1,0,0,0,2,65,0,False
MEXICO                      ,NEZAHUALCOYOTL,3,3,5,0,1,0,0,0,0,0,12,0,False
MEXICO                      ,NICOLAS ROMERO,0,2,0,0,0,0,0,0,0,0,2,0,False
